Q14865364	dopamine:sodium symporter activity	Q22290488	dopamine uptake
Q14865542	MAP kinase kinase kinase activity	Q14758900	MAPK cascade
Q14865542	MAP kinase kinase kinase activity	Q14864681	activation of MAPKK activity
Q14865544	epidermal growth factor-activated receptor activity	Q14864683	epidermal growth factor receptor signaling pathway
Q14865823	phosphorelay sensor kinase activity	Q14863351	signal transduction by protein phosphorylation
Q14865823	phosphorelay sensor kinase activity	Q21114947	phosphorelay signal transduction system
Q14866000	blue light photoreceptor activity	Q14866003	blue light signaling pathway
Q14866048	dopamine neurotransmitter receptor activity	Q14819847	synaptic transmission, dopaminergic
Q14866048	dopamine neurotransmitter receptor activity	Q14866054	dopamine receptor signaling pathway
Q14866188	chemoattractant activity	Q14903362	positive chemotaxis
Q14872781	1-phosphatidylinositol-3-kinase activity	Q14872803	phosphatidylinositol-3-phosphate biosynthetic process
Q14872782	histone serine kinase activity	Q14872811	histone-serine phosphorylation
Q14872988	steroid hormone receptor activity	Q14873026	steroid hormone mediated signaling pathway
Q14872989	nuclear receptor activity	Q14873002	intracellular receptor signaling pathway
Q14873895	enzyme inhibitor activity	Q14873900	negative regulation of catalytic activity
Q14873922	signal transducer activity, downstream of receptor	Q14851952	intracellular signal transduction
Q14874256	norepinephrine:sodium symporter activity	Q22290493	norepinephrine uptake
Q14875005	DNA helicase activity	Q14883731	DNA duplex unwinding
Q14875263	virus receptor activity	Q4118894	viral entry
Q14875861	hepatocyte growth factor-activated receptor activity	Q14906202	hepatocyte growth factor receptor signaling pathway
Q14875871	chemokine activity	Q14901854	cell chemotaxis
Q14876663	heme transporter activity	Q14876667	heme transport
Q14876828	sulfate transmembrane transporter activity	Q21543900	sulfate transmembrane transport
Q14876908	methionine synthase activity	Q14864918	methionine biosynthetic process
Q14877178	calcium ion transmembrane transporter activity	Q14891588	calcium ion transmembrane transport
Q14877365	tumor necrosis factor-activated receptor activity	Q14864211	tumor necrosis factor-mediated signaling pathway
Q14877400	glucocorticoid receptor activity	Q14633909	glucocorticoid receptor signaling pathway
Q14877400	glucocorticoid receptor activity	Q22243247	glucocorticoid mediated signaling pathway
Q14877415	endoribonuclease activity	Q21095680	RNA phosphodiester bond hydrolysis, endonucleolytic
Q14877427	nuclease activity	Q15311580	nucleic acid phosphodiester bond hydrolysis
Q14877430	ribonuclease activity	Q21763256	RNA phosphodiester bond hydrolysis
Q14877692	anion transmembrane transporter activity	Q21972809	anion transmembrane transport
Q14877693	chloride transmembrane transporter activity	Q15333422	chloride transmembrane transport
Q14878167	enzyme activator activity	Q14863412	positive regulation of catalytic activity
Q14878182	lipid transporter activity	Q14872727	lipid transport
Q14878183	phospholipid transporter activity	Q14872721	phospholipid transport
Q14878307	glutamate dehydrogenase [NAD(P)+] activity	Q417383	Glutamate dehydrogenase
Q14878340	phosphoprotein phosphatase activity	Q14863383	protein dephosphorylation
Q14878341	protein tyrosine phosphatase activity	Q14878357	peptidyl-tyrosine dephosphorylation
Q14878380	phosphatase activity	Q1101143	dephosphorylation
