Q61387	nortriptyline	Q47521959	Pamelor
Q71969	methenamine	Q47521683	Hiprex
Q71969	methenamine	Q48826484	Urex
Q73972	hydroxocobalamin	Q29005682	Cyanokit
Q81225	morphine	Q6718023	MS Contin
Q81225	morphine	Q47521221	Avinza
Q81225	morphine	Q47521513	Duramorph
Q81225	morphine	Q47521713	Infumorph
Q81225	morphine	Q47521735	Kadian
Q81225	morphine	Q47521848	Morphabond
Q81225	morphine	Q48826084	Astramorph
Q81225	morphine	Q48828201	Arymo
Q118551	clarithromycin	Q118551	clarithromycin
Q132621	epinephrine	Q2736787	epinephrine autoinjector
Q132621	epinephrine	Q47520886	Adrenalin
Q132621	epinephrine	Q47521215	Auvi-Q
Q132621	epinephrine	Q47522171	Symjepi
Q134658	niacin	Q47521893	Niaspan
Q134658	niacin	Q48825997	B3-500-Gr
Q134658	niacin	Q48826219	Niacor
Q139195	calcitriol	Q47521305	Rocaltrol
Q139195	calcitriol	Q47522277	Vectical
Q139200	ergocalciferol	Q47521505	Drisdol
Q144085	pimozide	Q47521940	Orap
Q145052	zaleplon	Q29006496	Sonata
Q145052	zaleplon	Q29006733	Zerene
Q146075	zanamivir	Q47522072	Relenza
Q147101	aciclovir	Q47522131	SITAVIG
Q147101	aciclovir	Q47522360	Zovirax
Q155472	valsartan	Q47521489	Diovan
Q155683	calcipotriene	Q47521304	Calcitrene
Q155683	calcipotriene	Q47521501	Dovonex
Q155683	calcipotriene	Q47522142	Sorilux
Q155746	paricalcitol	Q47522341	Zemplar
Q161613	migalastat	Q29005891	Galafold
Q162867	nitroglycerin	Q3221044	pharmaceutical preparation of nitroglycerin
Q162867	nitroglycerin	Q6867721	Minitran
Q162867	nitroglycerin	Q47521664	Gonitro
Q162867	nitroglycerin	Q47521899	Nitro-Bid
Q162867	nitroglycerin	Q47521900	NitroMist
Q162867	nitroglycerin	Q47521902	Nitrostat
Q162867	nitroglycerin	Q47522068	Rectiv
Q162867	nitroglycerin	Q48825965	Nitro-Dur
Q162867	nitroglycerin	Q48828153	Nitrol
Q162867	nitroglycerin	Q48829317	Nitrolingual
Q163901	cefixime	Q47522165	Suprax
Q166476	darifenacin	Q47521438	Enablex
Q166825	ibandronic acid	Q29004907	Bondenza
Q166825	ibandronic acid	Q29004908	Bondronat
Q166825	ibandronic acid	Q29004910	Bonviva
Q166825	ibandronic acid	Q29005717	Destara
Q166825	ibandronic acid	Q29005942	Iasibon
Q166825	ibandronic acid	Q29005943	Ibandronic Acid Accord
Q166825	ibandronic acid	Q29005945	Ibandronic Acid Sandoz
Q166825	ibandronic acid	Q29005946	Ibandronic Acid Teva
Q169569	metronidazole	Q47521612	Flagyl
Q169569	metronidazole	Q47521830	MetroLotion
Q169569	metronidazole	Q47521831	Nydamax
Q169569	metronidazole	Q47521906	Noritate
Q169569	metronidazole	Q47521920	Nuvessa
Q169569	metronidazole	Q47522268	Vandazole
Q169569	metronidazole	Q48826161	MetroGel
Q169569	metronidazole	Q48826431	MetroCream
Q169569	metronidazole	Q48828256	Rosadan
