Q407166	Somatostatin	Q24778427	Somatostatin
Q408122	Follistatin	Q41797195	Kazal domain superfamily
Q408122	Follistatin	Q41797872	TGF-beta binding (TB) domain superfamily
Q408154	Protoporphyrinogen oxidase	Q24774393	Protoporphyrinogen oxidase
Q408154	Protoporphyrinogen oxidase	Q41797313	FAD/NAD(P)-binding domain superfamily
Q408179	SMAD family member 4	Q24725444	SMAD/FHA domain superfamily
Q408179	SMAD family member 4	Q24768282	SMAD-like domain superfamily
Q408179	SMAD family member 4	Q24787915	Dwarfin
Q408179	SMAD family member 4	Q41797680	SMAD MH1 domain superfamily
Q408186	Kynureninase	Q24766996	Kynureninase
Q408186	Kynureninase	Q24768592	Pyridoxal phosphate-dependent transferase, major domain
Q408186	Kynureninase	Q24781248	Pyridoxal phosphate-dependent transferase
Q408186	Kynureninase	Q24781489	Pyridoxal phosphate-dependent transferase domain 1
Q408223	Cytochrome c, somatic	Q24776537	Cytochrome c, class IA/ IB
Q408223	Cytochrome c, somatic	Q41798005	Cytochrome c-like domain superfamily
Q408249	Tripartite motif containing 5	Q24722342	Concanavalin A-like lectin/glucanase domain superfamily
Q408249	Tripartite motif containing 5	Q24783286	Tripartite motif-containing protein 5
Q408249	Tripartite motif containing 5	Q24786519	Zinc finger, RING/FYVE/PHD-type
Q408291	Phosphoribosyl pyrophosphate amidotransferase	Q24723899	Amidophosphoribosyltransferase
Q408291	Phosphoribosyl pyrophosphate amidotransferase	Q24769315	Phosphoribosyltransferase-like
Q408291	Phosphoribosyl pyrophosphate amidotransferase	Q24775249	Nucleophile aminohydrolases, N-terminal
Q408303	Guanidinoacetate N-methyltransferase	Q24776524	Guanidinoacetate N-methyltransferase
Q408303	Guanidinoacetate N-methyltransferase	Q24780258	S-adenosyl-L-methionine-dependent methyltransferase
Q408305	Cytochrome P450 family 17 subfamily A member 1	Q24741990	Cytochrome P450, E-class, group I
Q408305	Cytochrome P450 family 17 subfamily A member 1	Q41797511	Cytochrome P450 superfamily
Q408476	BCL2 associated X, apoptosis regulator	Q554446	Bcl-2 family
Q408476	BCL2 associated X, apoptosis regulator	Q24786088	Apoptosis regulator BAX
